disease1,disease2
C0002876,C0004096
C0002876,C0020479
C0002876,C0027051
C0002876,C0031190
C0002876,C0032463
C0002876,C0085207
C0002876,C0162316
C0002876,C0221018
C0002876,C0262584
C0002876,C0271650
C0002876,C0740302
C0002890,C0008909
C0002890,C0011859
C0002890,C0014761
C0002890,C0025193
C0002890,C0025637
C0002890,C0740302
C0003467,C0009426
C0003467,C0011859
C0003467,C0014761
C0003467,C0020474
C0003467,C0151814
C0003467,C0162316
C0003467,C0236816
C0003467,C0265110
C0003467,C0271650
C0003467,C0338495
C0003467,C0349231
C0003467,C0600228
C0003467,C0740302
C0003467,C0751634
C0003467,C0751848
C0003467,C1135191
C0003467,C1266144
C0003467,C1835817
C0003467,C1836860
C0003467,C1838100
C0003467,C1838457
C0003467,C2674218
C0003467,C2930930
C0003467,C2931384
C0004096,C0007785
C0004096,C0011579
C0004096,C0431693
C0004096,C0600228
C0004096,C0740302
C0004096,C0750988
C0004096,C0751824
C0004096,C0751848
C0004096,C1135191
C0004096,C1135196
C0004096,C1306856
C0004096,C1833104
C0004096,C1833218
C0004096,C1833382
C0004096,C1838100
C0004096,C1838259
C0004096,C1838261
C0004096,C1852093
C0004096,C1853297
C0004096,C1853371
C0004096,C1863512
C0004096,C1969343
C0004096,C2674218
C0004096,C2675866
C0004096,C2930930
C0004096,C2931384
C0006277,C0008909
C0006277,C0009426
C0006277,C0011859
C0006277,C0025637
C0006277,C0027051
C0006277,C0030312
C0006277,C0031190
C0006277,C0038218
C0006277,C0085207
C0006277,C0151814
C0006277,C0262584
C0006277,C0265110
C0006277,C0270639
C0006277,C0342277
C0006277,C0740302
C0006277,C0948480
C0006277,C1845028
C0006277,C2674218
C0006277,C2931384
C0007780,C0007785
C0007780,C0151814
C0007780,C0162316
C0007780,C0206703
C0007780,C0272052
C0007780,C0342277
C0007780,C0750988
C0007780,C0751824
C0007780,C1306856
C0007780,C1832392
C0007785,C0020474
C0007785,C0020480
C0007785,C0022610
C0007785,C0028756
C0007785,C0030312
C0007785,C0031190
C0007785,C0034091
C0007785,C0034902
C0007785,C0038218
C0007785,C0043019
C0007785,C0086666
C0007785,C0162316
C0007785,C0206146
C0007785,C0265110
C0007785,C0270639
C0007785,C0338495
C0007785,C0340293
C0007785,C0349231
C0007785,C0431693
C0007785,C0600228
C0007785,C0751634
C0007785,C0751824
C0007785,C0751848
C0007785,C1135191
C0007785,C1135196
C0007785,C1266144
C0007785,C1833104
C0007785,C1838100
C0007785,C1864623
C0007785,C2674218
C0007785,C2931384
C0008909,C0030319
C0008909,C0032463
C0008909,C0034091
C0008909,C0038218
C0008909,C0043019
C0008909,C0086666
C0008909,C0162316
C0008909,C0236816
C0008909,C0262584
C0008909,C0272052
C0008909,C0340293
C0008909,C0342277
C0009426,C0020474
C0009426,C0020480
C0009426,C0022610
C0009426,C0025637
C0009426,C0030319
C0009426,C0085207
C0009426,C0270639
C0009426,C0340968
C0011579,C0011859
C0011579,C0025637
C0011579,C0027051
C0011579,C0030312
C0011579,C0034902
C0011579,C0221018
C0011579,C0272052
C0011579,C0342277
C0011579,C1835817
C0011579,C1969343
C0011859,C0020474
C0011859,C0025193
C0011859,C0027051
C0011859,C0028756
C0011859,C0030312
C0011859,C0031190
C0011859,C0032463
C0011859,C0085207
C0011859,C0152264
C0011859,C0431693
C0011859,C1838100
C0011859,C1852093
C0011880,C0028756
C0011880,C0030312
C0011880,C0032463
C0011880,C0034091
C0011880,C0043019
C0011880,C0085207
C0011880,C0600228
C0011880,C0751848
C0011880,C1135191
C0011880,C1833104
C0011880,C1838100
C0011880,C1852092
C0011880,C1852093
C0011880,C1864623
C0011880,C2931384
C0013415,C0020479
C0013415,C0020481
C0013415,C0028756
C0013415,C0030319
C0013415,C0032463
C0013415,C0034091
C0013415,C0236816
C0013415,C0270639
C0013415,C0349231
C0013415,C1835817
C0014761,C0020474
C0014761,C0020479
C0014761,C0020480
C0014761,C0022610
C0014761,C0027051
C0014761,C0028768
C0014761,C0030319
C0014761,C0034091
C0014761,C0038218
C0014761,C0162316
C0014761,C0272052
C0014761,C0342277
C0014761,C1720779
C0020474,C0025193
C0020474,C0162316
C0020474,C0265110
C0020474,C0600228
C0020474,C0751848
C0020474,C1266144
C0020474,C1838100
C0020474,C1845028
C0020474,C1852093
C0020474,C1863512
C0020474,C2930930
C0020474,C2931384
C0020479,C0020480
C0020479,C0025637
C0020479,C0028756
C0020479,C0028768
C0020479,C0030312
C0020479,C1838259
C0020479,C1863512
C0020479,C2931384
C0020480,C0025637
C0020480,C0028756
C0020480,C0206703
C0020480,C1266144
C0020480,C1863512
C0020481,C0027051
C0020481,C0730525
C0020481,C0751634
C0020481,C2931384
C0022610,C0025637
C0022610,C0206146
C0022610,C0338495
C0022610,C0730525
C0022610,C1838100
C0022610,C2675212
C0025193,C0028756
C0025193,C0030312
C0025193,C0151814
C0025193,C0751848
C0025193,C0948480
C0025193,C1135196
C0025193,C1838259
C0025193,C1845028
C0025193,C1864839
C0025193,C2931384
C0025637,C0162316
C0025637,C0271650
C0025637,C0349231
C0027051,C0030319
C0027051,C0162316
C0027051,C0236816
C0027051,C0600228
C0027051,C0740302
C0027051,C0751824
C0027051,C0751848
C0027051,C1135191
C0027051,C1135196
C0027051,C1833104
C0027051,C1833382
C0027051,C1836860
C0027051,C1838100
C0027051,C1838261
C0027051,C1852093
C0027051,C1863512
C0027051,C1864623
C0027051,C2674218
C0027051,C2675866
C0027051,C2930930
C0027051,C2931384
C0028756,C0030312
C0028756,C0032463
C0028756,C0038218
C0028756,C0151814
C0028756,C0162316
C0028756,C0338495
C0028756,C0340968
C0028756,C0600228
C0028756,C0740302
C0028756,C0751848
C0028756,C1135191
C0028756,C1135196
C0028756,C1832392
C0028756,C1838259
C0028756,C1864041
C0028756,C2674218
C0028756,C2930930
C0028768,C0162316
C0028768,C0236816
C0028768,C0342277
C0028768,C0600228
C0028768,C0751824
C0028768,C1135191
C0028768,C1838259
C0028768,C1864041
C0030312,C0032463
C0030312,C0038218
C0030312,C0151814
C0030312,C0162316
C0030312,C0265110
C0030312,C0340293
C0030312,C0600228
C0030312,C0740302
C0030312,C0751848
C0030312,C0948480
C0030312,C1135196
C0030312,C1306856
C0030312,C1833382
C0030312,C1835817
C0030312,C1836860
C0030312,C1836861
C0030312,C1845028
C0030312,C1856797
C0030312,C1864041
C0030319,C0151814
C0030319,C0600228
C0030319,C0751848
C0030319,C1135191
C0030319,C1135196
C0030319,C1833104
C0030319,C1852092
C0030319,C2931384
C0031190,C0151814
C0031190,C0152264
C0031190,C0206146
C0031190,C0265110
C0031190,C0740302
C0031190,C1135191
C0031190,C1838457
C0032463,C0600228
C0032463,C0751824
C0032463,C0751848
C0032463,C1135196
C0032463,C1838100
C0032463,C1853297
C0032463,C1863512
C0032463,C2674218
C0032463,C2931384
C0034091,C0236816
C0034091,C0270639
C0034091,C0271650
C0034091,C0340293
C0034091,C0349231
C0034091,C0750988
C0034091,C1832392
C0034091,C1853371
C0034091,C1969343
C0034902,C0162316
C0034902,C0221018
C0034902,C0236816
C0034902,C0342277
C0034902,C0751848
C0034902,C0948480
C0034902,C1838261
C0038218,C0151814
C0038218,C0221018
C0038218,C0265110
C0038218,C0270639
C0038218,C0272052
C0038218,C0342277
C0038218,C0431693
C0038218,C0740302
C0038218,C0750988
C0043019,C0342277
C0043019,C1832392
C0085207,C0162316
C0085207,C0236816
C0085207,C0265110
C0085207,C0271650
C0085207,C0272052
C0085207,C0338495
C0085207,C0600228
C0085207,C0751824
C0085207,C0751848
C0085207,C1135191
C0085207,C1306856
C0085207,C1832392
C0085207,C1833104
C0085207,C1833382
C0085207,C1835817
C0085207,C1838100
C0085207,C1838261
C0085207,C1852093
C0085207,C1864623
C0085207,C2674218
C0085207,C2931384
C0086666,C0751848
C0151814,C0162316
C0151814,C0342277
C0151814,C0600228
C0151814,C0751848
C0151814,C1832392
C0151814,C1838100
C0151814,C1845028
C0151814,C2931384
C0152264,C0342277
C0152264,C1837915
C0162316,C0206146
C0162316,C0270639
C0162316,C0271650
C0162316,C0338495
C0162316,C0340968
C0162316,C0600228
C0162316,C0750988
C0162316,C0751848
C0162316,C1832392
C0162316,C1835817
C0162316,C2674218
C0162316,C2931384
C0206146,C0338495
C0206146,C0600228
C0206703,C0730525
C0221018,C0271650
C0221018,C0342277
C0221018,C0740302
C0221018,C1720779
C0221018,C1835817
C0236816,C0270639
C0236816,C1832392
C0262584,C0740302
C0262584,C0751824
C0262584,C0751848
C0262584,C1135191
C0262584,C2674218
C0262584,C2931384
C0265110,C0271650
C0265110,C0740302
C0265110,C0751634
C0265110,C0751848
C0265110,C1135191
C0265110,C2931384
C0270639,C0272052
C0270639,C0340293
C0270639,C0342277
C0270639,C1833382
C0270639,C1838259
C0270639,C2931384
C0271650,C0338495
C0271650,C0600228
C0271650,C0751848
C0271650,C1135191
C0271650,C1833104
C0271650,C1833382
C0271650,C1838259
C0271650,C1852092
C0271650,C1863512
C0271650,C1864623
C0271650,C1864839
C0271650,C2674218
C0271650,C2675866
C0271650,C2930930
C0271650,C2931384
C0272052,C0750988
C0272052,C1832392
C0272052,C1838100
C0272052,C1853371
C0272052,C1864839
C0338495,C0751848
C0338495,C1135191
C0338495,C2931384
C0340293,C0600228
C0340293,C1135191
C0340293,C1864839
C0342277,C0431693
C0342277,C0600228
C0342277,C0750988
C0342277,C1832392
C0342277,C1833104
C0342277,C1835817
C0342277,C1838100
C0342277,C1852092
C0342277,C1853371
C0342277,C1857775
C0342277,C1864041
C0342277,C1864623
C0342277,C1864839
C0342277,C2675212
C0431693,C1833104
C0431693,C1838100
C0431693,C1852093
C0431693,C2675866
C0600228,C0948480
C0600228,C1135196
C0600228,C1833104
C0600228,C1838261
C0600228,C1852092
C0600228,C1864623
C0730525,C1838259
C0730525,C1845028
C0740302,C0948480
C0740302,C1135196
C0740302,C1845028
C0740302,C1852092
C0740302,C2674218
C0750988,C1833382
C0750988,C1838259
C0751634,C2931384
C0751824,C0751848
C0751848,C1135196
C0751848,C1838100
C0751848,C2674218
C0751848,C2931384
C0948480,C1135191
C0948480,C1833382
C0948480,C1835817
C0948480,C1836861
C0948480,C1838259
C0948480,C2674218
C0948480,C2675512
C0948480,C2931384
C1135191,C1135196
C1135191,C2674218
C1266144,C2674218
C1306856,C1838457
C1833104,C1833382
C1833104,C1838100
C1833104,C1838261
C1833104,C1852092
C1833104,C1852093
C1833104,C1864623
C1833104,C2675866
C1833382,C1845028
C1833382,C1853371
C1835817,C1836860
C1835817,C1856797
C1838100,C1852093
C1838100,C2675866
C1838259,C1838260
C1838259,C1845028
C1852093,C2675866
C2674218,C2675192
C2674218,C2678338
C2674218,C2931384
